genre,track_name,preview_url,location,filename,artist,artist_uri,album,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
hard rock,For Whom The Bell Tolls,,./scrapes/hard rock/For Whom The Bell Tolls.mp3,For Whom The Bell Tolls.mp3,Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,Ride The Lightning,1984-07-27,0.519,0.861,0,-6.67,1,0.0758,0.0173,0.00312,0.06,0.213,117.846,0.519,0.861,0,-6.67,1,0.0758,0.0173,0.00312,0.06,0.213,117.846
metal,For Whom The Bell Tolls,,./scrapes/metal/For Whom The Bell Tolls.mp3,For Whom The Bell Tolls.mp3,Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,Ride The Lightning,1984-07-27,0.519,0.861,0,-6.67,1,0.0758,0.0173,0.00312,0.06,0.213,117.846,0.519,0.861,0,-6.67,1,0.0758,0.0173,0.00312,0.06,0.213,117.846
old school thrash,For Whom The Bell Tolls,,./scrapes/old school thrash/For Whom The Bell Tolls.mp3,For Whom The Bell Tolls.mp3,Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,Ride The Lightning,1984-07-27,0.519,0.861,0,-6.67,1,0.0758,0.0173,0.00312,0.06,0.213,117.846,0.519,0.861,0,-6.67,1,0.0758,0.0173,0.00312,0.06,0.213,117.846
rock,For Whom The Bell Tolls,,./scrapes/rock/For Whom The Bell Tolls.mp3,For Whom The Bell Tolls.mp3,Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,Ride The Lightning,1984-07-27,0.519,0.861,0,-6.67,1,0.0758,0.0173,0.00312,0.06,0.213,117.846,0.519,0.861,0,-6.67,1,0.0758,0.0173,0.00312,0.06,0.213,117.846
thrash metal,For Whom The Bell Tolls,,./scrapes/thrash metal/For Whom The Bell Tolls.mp3,For Whom The Bell Tolls.mp3,Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,Ride The Lightning,1984-07-27,0.519,0.861,0,-6.67,1,0.0758,0.0173,0.00312,0.06,0.213,117.846,0.519,0.861,0,-6.67,1,0.0758,0.0173,0.00312,0.06,0.213,117.846
hard rock,Enter Sandman,,./scrapes/hard rock/Enter Sandman.mp3,Enter Sandman.mp3,Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,Metallica,1991-08-12,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331
metal,Enter Sandman,,./scrapes/metal/Enter Sandman.mp3,Enter Sandman.mp3,Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,Metallica,1991-08-12,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331
old school thrash,Enter Sandman,,./scrapes/old school thrash/Enter Sandman.mp3,Enter Sandman.mp3,Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,Metallica,1991-08-12,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331
rock,Enter Sandman,,./scrapes/rock/Enter Sandman.mp3,Enter Sandman.mp3,Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,Metallica,1991-08-12,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331
thrash metal,Enter Sandman,,./scrapes/thrash metal/Enter Sandman.mp3,Enter Sandman.mp3,Metallica,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,Metallica,1991-08-12,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331
modern rock,Psycho,,./scrapes/modern rock/Psycho.mp3,Psycho.mp3,Muse,spotify:artist:12Chz98pHFMPJEknJQMWvI,Psycho,2015-03-12,0.555,0.883,2,-3.426,1,0.0341,0.00114,0.041,0.868,0.507,125.02,0.555,0.883,2,-3.426,1,0.0341,0.00114,0.041,0.868,0.507,125.02
permanent wave,Psycho,,./scrapes/permanent wave/Psycho.mp3,Psycho.mp3,Muse,spotify:artist:12Chz98pHFMPJEknJQMWvI,Psycho,2015-03-12,0.555,0.883,2,-3.426,1,0.0341,0.00114,0.041,0.868,0.507,125.02,0.555,0.883,2,-3.426,1,0.0341,0.00114,0.041,0.868,0.507,125.02
rock,Psycho,,./scrapes/rock/Psycho.mp3,Psycho.mp3,Muse,spotify:artist:12Chz98pHFMPJEknJQMWvI,Psycho,2015-03-12,0.555,0.883,2,-3.426,1,0.0341,0.00114,0.041,0.868,0.507,125.02,0.555,0.883,2,-3.426,1,0.0341,0.00114,0.041,0.868,0.507,125.02
alternative metal,Killing In The Name,,./scrapes/alternative metal/Killing In The Name.mp3,Killing In The Name.mp3,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine/Evil Empire,2003,0.453,0.78,7,-6.497,1,0.279,0.0178,2.14e-06,0.031,0.712,85.366,0.453,0.78,7,-6.497,1,0.279,0.0178,2.14e-06,0.031,0.712,85.366
alternative rock,Killing In The Name,,./scrapes/alternative rock/Killing In The Name.mp3,Killing In The Name.mp3,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine/Evil Empire,2003,0.453,0.78,7,-6.497,1,0.279,0.0178,2.14e-06,0.031,0.712,85.366,0.453,0.78,7,-6.497,1,0.279,0.0178,2.14e-06,0.031,0.712,85.366
conscious hip hop,Killing In The Name,,./scrapes/conscious hip hop/Killing In The Name.mp3,Killing In The Name.mp3,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine/Evil Empire,2003,0.453,0.78,7,-6.497,1,0.279,0.0178,2.14e-06,0.031,0.712,85.366,0.453,0.78,7,-6.497,1,0.279,0.0178,2.14e-06,0.031,0.712,85.366
funk metal,Killing In The Name,,./scrapes/funk metal/Killing In The Name.mp3,Killing In The Name.mp3,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine/Evil Empire,2003,0.453,0.78,7,-6.497,1,0.279,0.0178,2.14e-06,0.031,0.712,85.366,0.453,0.78,7,-6.497,1,0.279,0.0178,2.14e-06,0.031,0.712,85.366
nu metal,Killing In The Name,,./scrapes/nu metal/Killing In The Name.mp3,Killing In The Name.mp3,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine/Evil Empire,2003,0.453,0.78,7,-6.497,1,0.279,0.0178,2.14e-06,0.031,0.712,85.366,0.453,0.78,7,-6.497,1,0.279,0.0178,2.14e-06,0.031,0.712,85.366
political hip hop,Killing In The Name,,./scrapes/political hip hop/Killing In The Name.mp3,Killing In The Name.mp3,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine/Evil Empire,2003,0.453,0.78,7,-6.497,1,0.279,0.0178,2.14e-06,0.031,0.712,85.366,0.453,0.78,7,-6.497,1,0.279,0.0178,2.14e-06,0.031,0.712,85.366
rap metal,Killing In The Name,,./scrapes/rap metal/Killing In The Name.mp3,Killing In The Name.mp3,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine/Evil Empire,2003,0.453,0.78,7,-6.497,1,0.279,0.0178,2.14e-06,0.031,0.712,85.366,0.453,0.78,7,-6.497,1,0.279,0.0178,2.14e-06,0.031,0.712,85.366
rap rock,Killing In The Name,,./scrapes/rap rock/Killing In The Name.mp3,Killing In The Name.mp3,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine/Evil Empire,2003,0.453,0.78,7,-6.497,1,0.279,0.0178,2.14e-06,0.031,0.712,85.366,0.453,0.78,7,-6.497,1,0.279,0.0178,2.14e-06,0.031,0.712,85.366
