id,genre,track_name,preview_url,location,filename,artist,artist_uri,album,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2Pfr0YZcuJKdp8iVMblA16,classical,Suite del Amor Brujo: El Círculo Mágico,https://p.scdn.co/mp3-preview/601278cd82f8e73be1d86c8d86d3bb8ff830ec96?cid=b82fb22d072d4120850c99225ff01644,./scrapes/classical/Suite del Amor Brujo: El Círculo Mágico.mp3,Suite del Amor Brujo: El Círculo Mágico.mp3,Manuel de Falla,spotify:artist:5BcbyYRgvvhfVGmCJSjHlT,Amor Brujo,2012-08-11,0.573,0.00279,2,-31.727,0,0.151,0.994,0.921,0.0781,0.459,78.986
1BDeuArYqzr3IKNpAVkNUh,classical,"12 Etudes, Op. 10: Etude No. 12 in C Minor, Op. 10, No. 12, ""Revolutionary""",https://p.scdn.co/mp3-preview/497826d025e775dd5af32634206c317cea9c0261?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/classical/12 Etudes, Op. 10: Etude No. 12 in C Minor, Op. 10, No. 12, ""Revolutionary"".mp3","12 Etudes, Op. 10: Etude No. 12 in C Minor, Op. 10, No. 12, ""Revolutionary"".mp3",Frédéric Chopin,spotify:artist:7y97mc3bZRFXzT2szRM4L4,Chopin: Etudes Opp. 10 and 25,2004-01-01,0.199,0.165,0,-20.461,0,0.0307,0.972,0.858,0.211,0.159,154.466
2izsTAPGtGeVFgRx4fmgbD,classical,Gnossiennes: n° 5,https://p.scdn.co/mp3-preview/a5d08991ac026eb0693c4d6dfaf01f556958e5d2?cid=b82fb22d072d4120850c99225ff01644,./scrapes/classical/Gnossiennes: n° 5.mp3,Gnossiennes: n° 5.mp3,Erik Satie,spotify:artist:459INk8vcC0ebEef82WjIK,Satie: Avant-dernières pensées (Bonus Track Version),2009-01-20,0.376,0.031,7,-25.838,1,0.037,0.984,0.944,0.126,0.223,73.05
3xPHiGO18vXlxEPNeKDb0D,classical,"Chopin: 12 Études, Op. 10: No. 3 in E Major ""Tristesse""",https://p.scdn.co/mp3-preview/2450b383d890669509f655c963b9322dc739427e?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/classical/Chopin: 12 Études, Op. 10: No. 3 in E Major ""Tristesse"".mp3","Chopin: 12 Études, Op. 10: No. 3 in E Major ""Tristesse"".mp3",Frédéric Chopin,spotify:artist:7y97mc3bZRFXzT2szRM4L4,Chopin: Etudes; Ballades Nos. 1 & 2,1997-07-01,0.349,0.0396,11,-21.54,1,0.0399,0.995,0.902,0.0793,0.0432,68.536
3otKZYFpTkwpOEotD1QQ9v,classical,Rococo Variations: Variation III,https://p.scdn.co/mp3-preview/c5c85b84ecc5c48ea3f747a6351a0e987eeaa0f0?cid=b82fb22d072d4120850c99225ff01644,./scrapes/classical/Rococo Variations: Variation III.mp3,Rococo Variations: Variation III.mp3,Valery Gergiev,spotify:artist:2LxnoYPOe0FCLC82R3xgO2,Tchaikovsky: Rococo Variations - Prokofiev: Sinfonia Concertante,2010-01-15,0.165,0.0252,0,-30.197,1,0.0435,0.961,0.0281,0.0964,0.0396,87.769
0sbkbAgrsFB7GWZUZmPcsN,classical,"Mozart: Symphony No. 44 in D Major, K. 81: I. Allegro",https://p.scdn.co/mp3-preview/45a41a637fc4d73300dee527991ef3784fc1d228?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/classical/Mozart: Symphony No. 44 in D Major, K. 81: I. Allegro.mp3","Mozart: Symphony No. 44 in D Major, K. 81: I. Allegro.mp3",Wolfgang Amadeus Mozart,spotify:artist:4NJhFmfw43RLBLjQvxDuRS,Mozart for Studying,2020-01-24,0.487,0.0874,9,-20.017,1,0.0468,0.96,0.801,0.114,0.357,147.328
55poH8rqdj4kVPYki3EJMV,classical,Rococo Variations: Variation VII e Coda,https://p.scdn.co/mp3-preview/6b237ad8703bafc2e8dcc910ce1b560aad21f495?cid=b82fb22d072d4120850c99225ff01644,./scrapes/classical/Rococo Variations: Variation VII e Coda.mp3,Rococo Variations: Variation VII e Coda.mp3,Pyotr Ilyich Tchaikovsky,spotify:artist:3MKCzCnpzw3TjUYs2v7vDA,Tchaikovsky: Rococo Variations - Prokofiev: Sinfonia Concertante,2010-01-15,0.355,0.145,9,-25.534,1,0.0373,0.927,0.953,0.142,0.415,153.538
0AzGXqQ2FvvyxC3juXZmKs,classical,"Flute Sonata in G Major, HWV 363b, , Op. 1 No. 5b: IV. Bourrée",https://p.scdn.co/mp3-preview/3fe0b6c93c600955f789f3c754213a3aa8c86d57?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/classical/Flute Sonata in G Major, HWV 363b, , Op. 1 No. 5b: IV. Bourrée.mp3","Flute Sonata in G Major, HWV 363b, , Op. 1 No. 5b: IV. Bourrée.mp3",George Frideric Handel,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,Handel: Complete Solo Sonatas,2019-08-30,0.571,0.212,6,-12.808,1,0.0736,0.932,6.02e-06,0.133,0.968,115.191
6ojA02UzpFw3aBnXcH1Hgb,classical,Piano Sonata No.28 In A Major Op.101 : IV. allegro,https://p.scdn.co/mp3-preview/bc6d2f180a810a74560f77edda788369b205b794?cid=b82fb22d072d4120850c99225ff01644,./scrapes/classical/Piano Sonata No.28 In A Major Op.101 : IV. allegro.mp3,Piano Sonata No.28 In A Major Op.101 : IV. allegro.mp3,Wilhelm Kempff,spotify:artist:4F0h097DbL1XBqIbDw2xOj,"Beethoven : Piano Sonatas Nos 23,26,28,31",2007-12-21,0.423,0.156,9,-17.821,1,0.0398,0.994,0.918,0.0701,0.43,120.392
5BZ3GrKytBwsryYbHwITWX,classical,"Orff: Carmina Burana, Pt. 3: ""In trutina"" (Soprano)",https://p.scdn.co/mp3-preview/705c398cd70ca088a1c4db7620e14f993ef7b54b?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/classical/Orff: Carmina Burana, Pt. 3: ""In trutina"" (Soprano).mp3","Orff: Carmina Burana, Pt. 3: ""In trutina"" (Soprano).mp3",Carl Orff,spotify:artist:4LXxsm5BF85PWnQ1dUDAze,Zen voices,2010-04-05,0.114,0.0362,2,-26.644,1,0.0457,0.963,0.0118,0.0977,0.0374,80.921
