,genre,track_name,preview_url,location,filename,artist,artist_uri
0,rap rock,Incomplete,https://p.scdn.co/mp3-preview/fe16b1f1d308b4f39bc283b99a990ae7e745d2dd?cid=b82fb22d072d4120850c99225ff01644,./scrapes/rap rock/Incomplete.mp3,Incomplete.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
1,rap metal,Incomplete,https://p.scdn.co/mp3-preview/fe16b1f1d308b4f39bc283b99a990ae7e745d2dd?cid=b82fb22d072d4120850c99225ff01644,./scrapes/rap metal/Incomplete.mp3,Incomplete.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
2,nu metal,Incomplete,https://p.scdn.co/mp3-preview/fe16b1f1d308b4f39bc283b99a990ae7e745d2dd?cid=b82fb22d072d4120850c99225ff01644,./scrapes/nu metal/Incomplete.mp3,Incomplete.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
3,christian rock,Incomplete,https://p.scdn.co/mp3-preview/fe16b1f1d308b4f39bc283b99a990ae7e745d2dd?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian rock/Incomplete.mp3,Incomplete.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
4,christian alternative rock,Incomplete,https://p.scdn.co/mp3-preview/fe16b1f1d308b4f39bc283b99a990ae7e745d2dd?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian alternative rock/Incomplete.mp3,Incomplete.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
5,canadian rock,Incomplete,https://p.scdn.co/mp3-preview/fe16b1f1d308b4f39bc283b99a990ae7e745d2dd?cid=b82fb22d072d4120850c99225ff01644,./scrapes/canadian rock/Incomplete.mp3,Incomplete.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
6,canadian metal,Incomplete,https://p.scdn.co/mp3-preview/fe16b1f1d308b4f39bc283b99a990ae7e745d2dd?cid=b82fb22d072d4120850c99225ff01644,./scrapes/canadian metal/Incomplete.mp3,Incomplete.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
7,canadian ccm,Incomplete,https://p.scdn.co/mp3-preview/fe16b1f1d308b4f39bc283b99a990ae7e745d2dd?cid=b82fb22d072d4120850c99225ff01644,./scrapes/canadian ccm/Incomplete.mp3,Incomplete.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
8,alternative metal,Incomplete,https://p.scdn.co/mp3-preview/fe16b1f1d308b4f39bc283b99a990ae7e745d2dd?cid=b82fb22d072d4120850c99225ff01644,./scrapes/alternative metal/Incomplete.mp3,Incomplete.mp3,Thousand Foot Krutch,spotify:artist:6GfiCQDFYANz5wUkSmb3Dr
9,christian hard rock,Fight Alive,https://p.scdn.co/mp3-preview/a61619721feffa96c52fa20d4edc1907099c1ecb?cid=b82fb22d072d4120850c99225ff01644,./scrapes/christian hard rock/Fight Alive.mp3,Fight Alive.mp3,Our Hearts Hero,spotify:artist:4Q4tXypOL7ZN1MP6CqJyXc
