id,genre,track_name,preview_url,location,filename,artist,artist_uri,album,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1Gd0GJF72EJiPFFJYSeDO9,baroque,"Violin Concerto in E Major, BWV 1042: III. Allegro assai",https://p.scdn.co/mp3-preview/a995fcef83acf3e4242ad7469f57dad43d9cb0ca?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/baroque/Violin Concerto in E Major, BWV 1042: III. Allegro assai.mp3","Violin Concerto in E Major, BWV 1042: III. Allegro assai.mp3",Johann Sebastian Bach,spotify:artist:5aIqB5nVVvmFsvSdExz408,Bach: Works for Violin,2014-09-26,0.512,0.394,4,-10.845,1,0.0409,0.807,9.43e-05,0.0826,0.762,103.523
7d2AnC0OdL4uQOyM7nBl0y,baroque,"Trumpet Concerto in D Major, FWV L:D1: III. Allegro",https://p.scdn.co/mp3-preview/7393b06758b1f6f66bccf75d65e53270b6978d92?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/baroque/Trumpet Concerto in D Major, FWV L:D1: III. Allegro.mp3","Trumpet Concerto in D Major, FWV L:D1: III. Allegro.mp3",Johann Friedrich Fasch,spotify:artist:6VICssnd5TFFusdpL5f2K9,"Baroque Trumpet (The Art Of The), Vol. 1",1995-01-01,0.482,0.192,8,-15.566,1,0.0388,0.966,0.956,0.0695,0.483,126.88
21rKK1lBgAMGqCShuqUyOf,baroque,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air",https://p.scdn.co/mp3-preview/d0bf82232290933fb12e1b63cb8570717dde2e11?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/baroque/Orchestral Suite No. 3 in D Major, BWV 1068: II. Air.mp3","Orchestral Suite No. 3 in D Major, BWV 1068: II. Air.mp3",Johann Sebastian Bach,spotify:artist:5aIqB5nVVvmFsvSdExz408,Bach: Works for Violin,2014-09-26,0.187,0.25,2,-16.156,1,0.0394,0.685,0.0338,0.0945,0.0897,90.676
5OcjYtnhTJpNF5nMqx6U15,baroque,Stabat Mater dolorosa,https://p.scdn.co/mp3-preview/49fc95a137598828bb10de5c12c8604dc50f4b8b?cid=b82fb22d072d4120850c99225ff01644,./scrapes/baroque/Stabat Mater dolorosa.mp3,Stabat Mater dolorosa.mp3,Giovanni Battista Pergolesi,spotify:artist:08ewVs9B2qQZ2Gy3xfTFyo,"Stabat Mater in F Minor, P. 77/Stabat Mater dolorosa",2016-10-07,0.204,0.12,4,-18.872,0,0.0376,0.984,0.0493,0.109,0.0601,97.607
7HuPwUBOEB5vpg7GEH4RtI,baroque,"Violin Sonata in A Major, HWV 372, Op. 1 No. 14: III. Largo",https://p.scdn.co/mp3-preview/f32f8f421fc84feca915162da8c4caccc4bbfcfd?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/baroque/Violin Sonata in A Major, HWV 372, Op. 1 No. 14: III. Largo.mp3","Violin Sonata in A Major, HWV 372, Op. 1 No. 14: III. Largo.mp3",George Frideric Handel,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,Handel: Complete Solo Sonatas,2019-08-30,0.214,0.123,5,-14.314,0,0.039,0.976,0.0,0.128,0.219,94.384
27mPgqb53BlOeIRQcv3mln,baroque,"Vivaldi: Le quattro stagioni (The Four Seasons), Op. 8: Violin Concerto No. 4 in F Minor, RV 297, ""L'Inverno"". II. Largo",https://p.scdn.co/mp3-preview/3eba96b38bed4cfcaab55842eba51652b7eee3c4?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/baroque/Vivaldi: Le quattro stagioni (The Four Seasons), Op. 8: Violin Concerto No. 4 in F Minor, RV 297, ""L'Inverno"". II. Largo.mp3","Vivaldi: Le quattro stagioni (The Four Seasons), Op. 8: Violin Concerto No. 4 in F Minor, RV 297, ""L'Inverno"". II. Largo.mp3",Antonio Vivaldi,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,Vivaldi: The Four Seasons,1992,0.277,0.125,10,-25.015,1,0.0417,0.864,0.355,0.0942,0.233,102.732
465GQH1BM57ZLCfIsCCQI1,baroque,Oboe Sonata in G minor / sol mineur / g-moll: IV. Allegro,https://p.scdn.co/mp3-preview/d501d9cad7e0ce1d4dfd5a55a0de545fe861d579?cid=b82fb22d072d4120850c99225ff01644,./scrapes/baroque/Oboe Sonata in G minor / sol mineur / g-moll: IV. Allegro.mp3,Oboe Sonata in G minor / sol mineur / g-moll: IV. Allegro.mp3,Georg Philipp Telemann,spotify:artist:2fg5h5pzleqI4RjFopWroj,Telemann: Complete Tafelmusik,2010-10-21,0.431,0.136,6,-22.385,0,0.0372,0.826,0.943,0.104,0.637,118.083
1Pzcg9npnI6f85YaovciK1,baroque,"Symphony No.40 in G minor, K.550, 1st movement: Molto allegro",https://p.scdn.co/mp3-preview/194008e2c06a62a4bff3324031fd80b268b3f008?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/baroque/Symphony No.40 in G minor, K.550, 1st movement: Molto allegro.mp3","Symphony No.40 in G minor, K.550, 1st movement: Molto allegro.mp3",George Frideric Handel,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,An Invitation To The Classics,1991-01-01,0.383,0.177,7,-16.972,0,0.0373,0.985,0.908,0.11,0.149,103.976
1F6hUEs0WoVqfCch9lfjFU,baroque,Concerto No 11 in B flat major - Allegro,https://p.scdn.co/mp3-preview/ec18349f339210fbd974d00aa36ab2d8e7ed6e1f?cid=b82fb22d072d4120850c99225ff01644,./scrapes/baroque/Concerto No 11 in B flat major - Allegro.mp3,Concerto No 11 in B flat major - Allegro.mp3,Giuseppe Torelli,spotify:artist:0iGlEKhYsOH3m6K7SHHJ2z,The Original Brandenburg Concertos,2009-01-01,0.435,0.216,9,-18.529,1,0.0442,0.703,0.79,0.134,0.363,146.526
3yMIlyWk2Pa0ONf8P0xz4A,baroque,"Recorder Sonata in A Minor, HWV 362, Op. 1 No. 4: II. Allegro",https://p.scdn.co/mp3-preview/f99c9fa96c07ce278d9827e16f03e9b75b828dfb?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/baroque/Recorder Sonata in A Minor, HWV 362, Op. 1 No. 4: II. Allegro.mp3","Recorder Sonata in A Minor, HWV 362, Op. 1 No. 4: II. Allegro.mp3",George Frideric Handel,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,Handel: Complete Solo Sonatas,2019-08-30,0.363,0.335,8,-14.012,0,0.0375,0.84,0.0,0.136,0.683,134.525
7I9QfQYzFv8mqXmA6c43RI,baroque,"Flute Sonata in E Minor, HWV 359b, Op. 1 No. 1b: III. Adagio",https://p.scdn.co/mp3-preview/1c3b500eae8a75f238316250f60b9411a633a213?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/baroque/Flute Sonata in E Minor, HWV 359b, Op. 1 No. 1b: III. Adagio.mp3","Flute Sonata in E Minor, HWV 359b, Op. 1 No. 1b: III. Adagio.mp3",George Frideric Handel,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,Handel: Complete Solo Sonatas,2019-08-30,0.174,0.116,6,-15.372,1,0.0364,0.965,2.65e-05,0.0726,0.336,173.728
23PS2kFAPd6LSlbrIbGzex,baroque,"Oboe Concerto in B Flat Major, Op. 7 No. 3: Allegro",https://p.scdn.co/mp3-preview/649baaffc471bd74041fabd71dc1a78507388c65?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/baroque/Oboe Concerto in B Flat Major, Op. 7 No. 3: Allegro.mp3","Oboe Concerto in B Flat Major, Op. 7 No. 3: Allegro.mp3",Tomaso Albinoni,spotify:artist:17OArJzEhRR3OmhtGcnfBq,Baroque Oboe Concertos,2013-07-22,0.717,0.259,10,-17.353,1,0.0581,0.845,0.0138,0.0948,0.916,95.21
49MbKhqr2ZFbI2xkbMF3RJ,baroque,"Recorder Sonata in D Minor, HWV 367a, Op. 1 No. 9a: I. Largo",https://p.scdn.co/mp3-preview/db7f8f25c18389b40cdc4c4236c787a1f59e8b18?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/baroque/Recorder Sonata in D Minor, HWV 367a, Op. 1 No. 9a: I. Largo.mp3","Recorder Sonata in D Minor, HWV 367a, Op. 1 No. 9a: I. Largo.mp3",George Frideric Handel,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,Handel: Complete Solo Sonatas,2019-08-30,0.237,0.171,1,-15.619,0,0.0367,0.862,0.0,0.0617,0.204,79.926
0KHG44mT1UQBsmkZVYCpxp,baroque,"Concerto in F Major, No. 1, RV 98, Tempesta di mare: I. (Allegro)",https://p.scdn.co/mp3-preview/9a823c68999b32754b7a190e41a852e9a0c39ad5?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/baroque/Concerto in F Major, No. 1, RV 98, Tempesta di mare: I. (Allegro).mp3","Concerto in F Major, No. 1, RV 98, Tempesta di mare: I. (Allegro).mp3",Antonio Vivaldi,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,"Vivaldi: Concerti for Flute, Strings and Basso continuo, Op.10, Nos. 1-6; Marcello/Platti: Concerti for for Oboe, Strings and Basso continuo",1979,0.637,0.338,4,-16.67,1,0.0512,0.923,0.685,0.414,0.694,118.083
3GTaZfRz6KQZWXPiXDygnL,baroque,"Violin Concerto No. 1 in C Major, RV 181a: III. Allegro molto",https://p.scdn.co/mp3-preview/152f5f51802879d6e4ce3730a164ad4332413fee?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/baroque/Violin Concerto No. 1 in C Major, RV 181a: III. Allegro molto.mp3","Violin Concerto No. 1 in C Major, RV 181a: III. Allegro molto.mp3",Antonio Vivaldi,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,"Vivaldi: La Cetra, Op. 9 (12 Violin Concertos)",2012-06-01,0.513,0.217,11,-17.713,1,0.0345,0.812,0.0175,0.146,0.747,102.972
1vUFcwiJPymWdrO54aQQX7,baroque,I. Allegro AssaI (Sinfonia for Strings in A Major),https://p.scdn.co/mp3-preview/abc49480a0e2f47c09254de3658459f6fa3f216e?cid=b82fb22d072d4120850c99225ff01644,./scrapes/baroque/I. Allegro AssaI (Sinfonia for Strings in A Major).mp3,I. Allegro AssaI (Sinfonia for Strings in A Major).mp3,Antonio Vivaldi,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,"Locatelli, Vivaldi, Manfredini and Tartini: Virtuoso Baroque Music",1996-02-01,0.689,0.042,9,-20.964,1,0.0527,0.98,0.0633,0.298,0.765,95.912
45RASnlGdt0HcOMTbS5Tku,baroque,Concerto for two horns and strings in E flat major / Mi bémol majeur / Es-dur: II. Allegro,https://p.scdn.co/mp3-preview/947822a34c44d4192959a1acd4293a6b9e98763c?cid=b82fb22d072d4120850c99225ff01644,./scrapes/baroque/Concerto for two horns and strings in E flat major / Mi bémol majeur / Es-dur: II. Allegro.mp3,Concerto for two horns and strings in E flat major / Mi bémol majeur / Es-dur: II. Allegro.mp3,Georg Philipp Telemann,spotify:artist:2fg5h5pzleqI4RjFopWroj,Telemann: Complete Tafelmusik,2010-10-21,0.549,0.217,2,-15.149,1,0.0427,0.986,0.0626,0.167,0.483,115.005
5jaOjS5VsMzU5Xa9pJQ3G1,baroque,"Flute Sonata in E Minor, HWV 359b, Op. 1 No. 1b: II. Allegro",https://p.scdn.co/mp3-preview/4e85cdd2e61120106d58ed17d8dc10b0ce294f2e?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/baroque/Flute Sonata in E Minor, HWV 359b, Op. 1 No. 1b: II. Allegro.mp3","Flute Sonata in E Minor, HWV 359b, Op. 1 No. 1b: II. Allegro.mp3",George Frideric Handel,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,Handel: Complete Solo Sonatas,2019-08-30,0.601,0.335,3,-12.778,0,0.0553,0.897,7.16e-05,0.0752,0.962,117.509
5olY8yO9tGgPee9xNasVpN,baroque,"Sonata in E Major, K. 380",https://p.scdn.co/mp3-preview/772d180c340938415d4dd1a4658b4e6c678ac13c?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/baroque/Sonata in E Major, K. 380.mp3","Sonata in E Major, K. 380.mp3",Domenico Scarlatti,spotify:artist:0mFblCBw0GcoY7zY1P8tzE,Motherland,2014-05-19,0.449,0.0378,11,-31.383,1,0.0373,0.992,0.951,0.141,0.168,83.757
4hchhaOWbkLnrU1xXl10ZQ,baroque,"Concerto for Oboe and Cello in G Minor, RV 812: II. Largo cantabile",https://p.scdn.co/mp3-preview/7b5c974edb040ff1c5259bc3647704086cfa952a?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/baroque/Concerto for Oboe and Cello in G Minor, RV 812: II. Largo cantabile.mp3","Concerto for Oboe and Cello in G Minor, RV 812: II. Largo cantabile.mp3",Antonio Vivaldi,spotify:artist:2QOIawHpSlOwXDvSqQ9YJR,Vivaldi: Concertos for 2 Cellos,2014-10-07,0.2,0.0484,10,-21.816,1,0.0553,0.99,0.83,0.114,0.118,117.34
1TNachmLUTMrq3WU2VmuB9,baroque,Sonata II In G Minor: V. Aria (Muffat),https://p.scdn.co/mp3-preview/cf868f6fe5be3ba3f45a81db5fe737d4896b4011?cid=b82fb22d072d4120850c99225ff01644,./scrapes/baroque/Sonata II In G Minor: V. Aria (Muffat).mp3,Sonata II In G Minor: V. Aria (Muffat).mp3,Georg Muffat,spotify:artist:2qOmGTOq3DzslJlvx77kMR,Mensa Sonora - Biber And His Contemporaries,2006-03-21,0.361,0.115,9,-16.359,1,0.0403,0.914,0.494,0.592,0.528,124.822
6EavH6R9vf3SRfpotILgYK,baroque,"Flute Sonata in E Minor, HWV 359b, Op. 1 No. 1b: IV. Allegro",https://p.scdn.co/mp3-preview/bbe3661b3d0dfa3cdc3cea85c5af074bf4b45346?cid=b82fb22d072d4120850c99225ff01644,"./scrapes/baroque/Flute Sonata in E Minor, HWV 359b, Op. 1 No. 1b: IV. Allegro.mp3","Flute Sonata in E Minor, HWV 359b, Op. 1 No. 1b: IV. Allegro.mp3",George Frideric Handel,spotify:artist:1QL7yTHrdahRMpvNtn6rI2,Handel: Complete Solo Sonatas,2019-08-30,0.539,0.308,3,-12.592,0,0.0601,0.91,0.0113,0.144,0.969,116.842
